X,fever1,fever2,fever3,fever4,fever5,fever6,fever7,fever8,fever9,fever10,chill1,chill2,chill3,chill4,chill5,chill6,chill7,chill8,chill9,chill10,headache1,headache2,headache3,headache4,headache5,headache6,headache7,headache8,headache9,headache10,pneumonia1,pneumonia2,pneumonia3,pneumonia4,pneumonia5,pneumonia6,pneumonia7,pneumonia8,pneumonia9,pneumonia10,covid1,covid2,covid3,covid4,covid5,covid6,covid7,covid8,covid9,covid10,new cases per day
127,37,34,35,33,33,37,35,38,37,30,73,71,56,78,65,81,90,72,64,57,76,65,71,71,83,80,72,74,70,66,41,33,32,32,38,43,41,35,31,32,96,82,77,74,92,104,96,94,78,72,233398
128,36,37,34,35,33,33,37,35,38,37,75,73,71,56,78,65,81,90,72,64,73,76,65,71,71,83,80,72,74,70,41,41,33,32,32,38,43,41,35,31,100,96,82,77,74,92,104,96,94,78,251094
129,31,36,37,34,35,33,33,37,35,38,61,75,73,71,56,78,65,81,90,72,75,73,76,65,71,71,83,80,72,74,41,41,41,33,32,32,38,43,41,35,87,100,96,82,77,74,92,104,96,94,281690
130,30,31,36,37,34,35,33,33,37,35,57,61,75,73,71,56,78,65,81,90,73,75,73,76,65,71,71,83,80,72,33,41,41,41,33,32,32,38,43,41,78,87,100,96,82,77,74,92,104,96,314861
131,29,30,31,36,37,34,35,33,33,37,75,57,61,75,73,71,56,78,65,81,70,73,75,73,76,65,71,71,83,80,38,33,41,41,41,33,32,32,38,43,86,78,87,100,96,82,77,74,92,104,245699
132,33,29,30,31,36,37,34,35,33,33,67,75,57,61,75,73,71,56,78,65,65,70,73,75,73,76,65,71,71,83,36,38,33,41,41,41,33,32,32,38,78,86,78,87,100,96,82,77,74,92,218743
133,29,33,29,30,31,36,37,34,35,33,52,67,75,57,61,75,73,71,56,78,67,65,70,73,75,73,76,65,71,71,35,36,38,33,41,41,41,33,32,32,71,78,86,78,87,100,96,82,77,74,201665
134,33,29,33,29,30,31,36,37,34,35,56,52,67,75,57,61,75,73,71,56,62,67,65,70,73,75,73,76,65,71,37,35,36,38,33,41,41,41,33,32,90,71,78,86,78,87,100,96,82,77,221561
135,33,33,29,33,29,30,31,36,37,34,71,56,52,67,75,57,61,75,73,71,66,62,67,65,70,73,75,73,76,65,38,37,35,36,38,33,41,41,41,33,93,90,71,78,86,78,87,100,96,82,225793
136,34,33,33,29,33,29,30,31,36,37,62,71,56,52,67,75,57,61,75,73,66,66,62,67,65,70,73,75,73,76,38,38,37,35,36,38,33,41,41,41,100,93,90,71,78,86,78,87,100,96,225326
137,31,34,33,33,29,33,29,30,31,36,62,62,71,56,52,67,75,57,61,75,64,66,66,62,67,65,70,73,75,73,41,38,38,37,35,36,38,33,41,41,99,100,93,90,71,78,86,78,87,100,246950
138,34,31,34,33,33,29,33,29,30,31,65,62,62,71,56,52,67,75,57,61,74,64,66,66,62,67,65,70,73,75,38,41,38,38,37,35,36,38,33,41,96,99,100,93,90,71,78,86,78,87,214063
139,31,34,31,34,33,33,29,33,29,30,70,65,62,62,71,56,52,67,75,57,68,74,64,66,66,62,67,65,70,73,33,38,41,38,38,37,35,36,38,33,81,96,99,100,93,90,71,78,86,78,185572
140,28,31,34,31,34,33,33,29,33,29,61,70,65,62,62,71,56,52,67,75,66,68,74,64,66,66,62,67,65,70,32,33,38,41,38,38,37,35,36,38,72,81,96,99,100,93,90,71,78,86,150690
141,31,28,31,34,31,34,33,33,29,33,54,61,70,65,62,62,71,56,52,67,69,66,68,74,64,66,66,62,67,65,34,32,33,38,41,38,38,37,35,36,88,72,81,96,99,100,93,90,71,78,148601
142,31,31,28,31,34,31,34,33,33,29,62,54,61,70,65,62,62,71,56,52,62,69,66,68,74,64,66,66,62,67,34,34,32,33,38,41,38,38,37,35,96,88,72,81,96,99,100,93,90,71,188590
143,29,31,31,28,31,34,31,34,33,33,47,62,54,61,70,65,62,62,71,56,66,62,69,66,68,74,64,66,66,62,36,34,34,32,33,38,41,38,38,37,83,96,88,72,81,96,99,100,93,90,189463
144,29,29,31,31,28,31,34,31,34,33,58,47,62,54,61,70,65,62,62,71,70,66,62,69,66,68,74,64,66,66,41,36,34,34,32,33,38,41,38,38,84,83,96,88,72,81,96,99,100,93,191415
145,28,29,29,31,31,28,31,34,31,34,75,58,47,62,54,61,70,65,62,62,62,70,66,62,69,66,68,74,64,66,38,41,36,34,34,32,33,38,41,38,88,84,83,96,88,72,81,96,99,100,171248
146,27,28,29,29,31,31,28,31,34,31,69,75,58,47,62,54,61,70,65,62,61,62,70,66,62,69,66,68,74,64,28,38,41,36,34,34,32,33,38,41,78,88,84,83,96,88,72,81,96,99,140229
147,28,27,28,29,29,31,31,28,31,34,65,69,75,58,47,62,54,61,70,65,66,61,62,70,66,62,69,66,68,74,31,28,38,41,36,34,34,32,33,38,74,78,88,84,83,96,88,72,81,96,134641
148,27,28,27,28,29,29,31,31,28,31,58,65,69,75,58,47,62,54,61,70,61,66,61,62,70,66,62,69,66,68,33,31,28,38,41,36,34,34,32,33,90,74,78,88,84,83,96,88,72,81,149509
149,30,27,28,27,28,29,29,31,31,28,50,58,65,69,75,58,47,62,54,61,71,61,66,61,62,70,66,62,69,66,30,33,31,28,38,41,36,34,34,32,92,90,74,78,88,84,83,96,88,72,157083
150,29,30,27,28,27,28,29,29,31,31,59,50,58,65,69,75,58,47,62,54,68,71,61,66,61,62,70,66,62,69,38,30,33,31,28,38,41,36,34,34,88,92,90,74,78,88,84,83,96,88,158567
151,27,29,30,27,28,27,28,29,29,31,54,59,50,58,65,69,75,58,47,62,63,68,71,61,66,61,62,70,66,62,34,38,30,33,31,28,38,41,36,34,83,88,92,90,74,78,88,84,83,96,164694
152,27,27,29,30,27,28,27,28,29,29,62,54,59,50,58,65,69,75,58,47,66,63,68,71,61,66,61,62,70,66,32,34,38,30,33,31,28,38,41,36,80,83,88,92,90,74,78,88,84,83,140278
153,29,27,27,29,30,27,28,27,28,29,45,62,54,59,50,58,65,69,75,58,61,66,63,68,71,61,66,61,62,70,28,32,34,38,30,33,31,28,38,41,72,80,83,88,92,90,74,78,88,84,112784
154,29,29,27,27,29,30,27,28,27,28,52,45,62,54,59,50,58,65,69,75,66,61,66,63,68,71,61,66,61,62,28,28,32,34,38,30,33,31,28,38,68,72,80,83,88,92,90,74,78,88,126331
155,25,29,29,27,27,29,30,27,28,27,58,52,45,62,54,59,50,58,65,69,60,66,61,66,63,68,71,61,66,61,32,28,28,32,34,38,30,33,31,28,74,68,72,80,83,88,92,90,74,78,118741
156,29,25,29,29,27,27,29,30,27,28,64,58,52,45,62,54,59,50,58,65,63,60,66,61,66,63,68,71,61,66,35,32,28,28,32,34,38,30,33,31,80,74,68,72,80,83,88,92,90,74,119369
157,29,29,25,29,29,27,27,29,30,27,61,64,58,52,45,62,54,59,50,58,65,63,60,66,61,66,63,68,71,61,35,35,32,28,28,32,34,38,30,33,84,80,74,68,72,80,83,88,92,90,126581
158,30,29,29,25,29,29,27,27,29,30,58,61,64,58,52,45,62,54,59,50,66,65,63,60,66,61,66,63,68,71,28,35,35,32,28,28,32,34,38,30,77,84,80,74,68,72,80,83,88,92,127841
159,25,30,29,29,25,29,29,27,27,29,73,58,61,64,58,52,45,62,54,59,63,66,65,63,60,66,61,66,63,68,35,28,35,35,32,28,28,32,34,38,76,77,84,80,74,68,72,80,83,88,108807
160,26,25,30,29,29,25,29,29,27,27,63,73,58,61,64,58,52,45,62,54,62,63,66,65,63,60,66,61,66,63,26,35,28,35,35,32,28,28,32,34,67,76,77,84,80,74,68,72,80,83,91475
161,30,26,25,30,29,29,25,29,29,27,59,63,73,58,61,64,58,52,45,62,64,62,63,66,65,63,60,66,61,66,22,26,35,28,35,35,32,28,28,32,59,67,76,77,84,80,74,68,72,80,81844
162,28,30,26,25,30,29,29,25,29,29,54,59,63,73,58,61,64,58,52,45,56,64,62,63,66,65,63,60,66,61,31,22,26,35,28,35,35,32,28,28,73,59,67,76,77,84,80,74,68,72,91484
163,27,28,30,26,25,30,29,29,25,29,64,54,59,63,73,58,61,64,58,52,61,56,64,62,63,66,65,63,60,66,27,31,22,26,35,28,35,35,32,28,79,73,59,67,76,77,84,80,74,68,96363
164,31,27,28,30,26,25,30,29,29,25,47,64,54,59,63,73,58,61,64,58,65,61,56,64,62,63,66,65,63,60,28,27,31,22,26,35,28,35,35,32,78,79,73,59,67,76,77,84,80,74,101716
165,30,31,27,28,30,26,25,30,29,29,65,47,64,54,59,63,73,58,61,64,63,65,61,56,64,62,63,66,65,63,25,28,27,31,22,26,35,28,35,35,79,78,79,73,59,67,76,77,84,80,97483
166,29,30,31,27,28,30,26,25,30,29,56,65,47,64,54,59,63,73,58,61,65,63,65,61,56,64,62,63,66,65,28,25,28,27,31,22,26,35,28,35,76,79,78,79,73,59,67,76,77,84,88666
167,27,29,30,31,27,28,30,26,25,30,51,56,65,47,64,54,59,63,73,58,57,65,63,65,61,56,64,62,63,66,18,28,25,28,27,31,22,26,35,28,63,76,79,78,79,73,59,67,76,77,65829
168,25,27,29,30,31,27,28,30,26,25,47,51,56,65,47,64,54,59,63,73,60,57,65,63,65,61,56,64,62,63,23,18,28,25,28,27,31,22,26,35,57,63,76,79,78,79,73,59,67,76,55312
169,28,25,27,29,30,31,27,28,30,26,51,47,51,56,65,47,64,54,59,63,59,60,57,65,63,65,61,56,64,62,26,23,18,28,25,28,27,31,22,26,67,57,63,76,79,78,79,73,59,67,57863
170,26,28,25,27,29,30,31,27,28,30,66,51,47,51,56,65,47,64,54,59,49,59,60,57,65,63,65,61,56,64,28,26,23,18,28,25,28,27,31,22,69,67,57,63,76,79,78,79,73,59,69349
171,25,26,28,25,27,29,30,31,27,28,48,66,51,47,51,56,65,47,64,54,64,49,59,60,57,65,63,65,61,56,31,28,26,23,18,28,25,28,27,31,64,69,67,57,63,76,79,78,79,73,68098
172,25,25,26,28,25,27,29,30,31,27,49,48,66,51,47,51,56,65,47,64,63,64,49,59,60,57,65,63,65,61,31,31,28,26,23,18,28,25,28,27,64,64,69,67,57,63,76,79,78,79,72948
173,26,25,25,26,28,25,27,29,30,31,41,49,48,66,51,47,51,56,65,47,61,63,64,49,59,60,57,65,63,65,32,31,31,28,26,23,18,28,25,28,62,64,64,69,67,57,63,76,79,78,69686
174,26,26,25,25,26,28,25,27,29,30,57,41,49,48,66,51,47,51,56,65,61,61,63,64,49,59,60,57,65,63,23,32,31,31,28,26,23,18,28,25,57,62,64,64,69,67,57,63,76,79,54114
175,27,26,26,25,25,26,28,25,27,29,41,57,41,49,48,66,51,47,51,56,64,61,61,63,64,49,59,60,57,65,22,23,32,31,31,28,26,23,18,28,57,57,62,64,64,69,67,57,63,76,55803
176,23,27,26,26,25,25,26,28,25,27,58,41,57,41,49,48,66,51,47,51,60,64,61,61,63,64,49,59,60,57,28,22,23,32,31,31,28,26,23,18,69,57,57,62,64,64,69,67,57,63,70301
177,25,23,27,26,26,25,25,26,28,25,66,58,41,57,41,49,48,66,51,47,62,60,64,61,61,63,64,49,59,60,30,28,22,23,32,31,31,28,26,23,71,69,57,57,62,64,64,69,67,57,74598
178,28,25,23,27,26,26,25,25,26,28,51,66,58,41,57,41,49,48,66,51,56,62,60,64,61,61,63,64,49,59,26,30,28,22,23,32,31,31,28,26,70,71,69,57,57,62,64,64,69,67,73946
179,25,28,25,23,27,26,26,25,25,26,59,51,66,58,41,57,41,49,48,66,66,56,62,60,64,61,61,63,64,49,26,26,30,28,22,23,32,31,31,28,72,70,71,69,57,57,62,64,64,69,73118
180,25,25,28,25,23,27,26,26,25,25,67,59,51,66,58,41,57,41,49,48,61,66,56,62,60,64,61,61,63,64,25,26,26,30,28,22,23,32,31,31,70,72,70,71,69,57,57,62,64,64,69877
181,26,25,25,28,25,23,27,26,26,25,80,67,59,51,66,58,41,57,41,49,59,61,66,56,62,60,64,61,61,63,21,25,26,26,30,28,22,23,32,31,64,70,72,70,71,69,57,57,62,64,50272
182,26,26,25,25,28,25,23,27,26,26,77,80,67,59,51,66,58,41,57,41,62,59,61,66,56,62,60,64,61,61,26,21,25,26,26,30,28,22,23,32,61,64,70,72,70,71,69,57,57,62,48962
