X,fever1,fever2,fever3,fever4,fever5,fever6,fever7,fever8,fever9,fever10,chill1,chill2,chill3,chill4,chill5,chill6,chill7,chill8,chill9,chill10,headache1,headache2,headache3,headache4,headache5,headache6,headache7,headache8,headache9,headache10,pneumonia1,pneumonia2,pneumonia3,pneumonia4,pneumonia5,pneumonia6,pneumonia7,pneumonia8,pneumonia9,pneumonia10,covid1,covid2,covid3,covid4,covid5,covid6,covid7,covid8,covid9,covid10,new cases per day
29,28,29,29,28,34,29,29,29,28,26,36,54,34,41,34,47,35,30,43,35,55,60,58,52,60,48,57,52,54,63,30,21,19,22,25,26,27,24,20,16,42,37,38,41,41,44,46,42,36,36,39098
30,26,28,29,29,28,34,29,29,29,28,39,36,54,34,41,34,47,35,30,43,51,55,60,58,52,60,48,57,52,54,24,30,21,19,22,25,26,27,24,20,44,42,37,38,41,41,44,46,42,36,46880
31,28,26,28,29,29,28,34,29,29,29,42,39,36,54,34,41,34,47,35,30,54,51,55,60,58,52,60,48,57,52,24,24,30,21,19,22,25,26,27,24,41,44,42,37,38,41,41,44,46,42,47769
32,28,28,26,28,29,29,28,34,29,29,47,42,39,36,54,34,41,34,47,35,60,54,51,55,60,58,52,60,48,57,28,24,24,30,21,19,22,25,26,27,41,41,44,42,37,38,41,41,44,46,50681
33,32,28,28,26,28,29,29,28,34,29,44,47,42,39,36,54,34,41,34,47,55,60,54,51,55,60,58,52,60,48,30,28,24,24,30,21,19,22,25,26,97,41,41,44,42,37,38,41,41,44,48157
34,33,32,28,28,26,28,29,29,28,34,50,44,47,42,39,36,54,34,41,34,64,55,60,54,51,55,60,58,52,60,26,30,28,24,24,30,21,19,22,25,71,97,41,41,44,42,37,38,41,41,36680
35,34,33,32,28,28,26,28,29,29,28,48,50,44,47,42,39,36,54,34,41,65,64,55,60,54,51,55,60,58,52,25,26,30,28,24,24,30,21,19,22,62,71,97,41,41,44,42,37,38,41,40839
36,32,34,33,32,28,28,26,28,29,29,43,48,50,44,47,42,39,36,54,34,59,65,64,55,60,54,51,55,60,58,33,25,26,30,28,24,24,30,21,19,66,62,71,97,41,41,44,42,37,38,40546
37,30,32,34,33,32,28,28,26,28,29,49,43,48,50,44,47,42,39,36,54,61,59,65,64,55,60,54,51,55,60,32,33,25,26,30,28,24,24,30,21,60,66,62,71,97,41,41,44,42,37,54674
38,31,30,32,34,33,32,28,28,26,28,41,49,43,48,50,44,47,42,39,36,66,61,59,65,64,55,60,54,51,55,35,32,33,25,26,30,28,24,24,30,56,60,66,62,71,97,41,41,44,42,56259
39,31,31,30,32,34,33,32,28,28,26,42,41,49,43,48,50,44,47,42,39,60,66,61,59,65,64,55,60,54,51,31,35,32,33,25,26,30,28,24,24,53,56,60,66,62,71,97,41,41,44,58838
40,30,31,31,30,32,34,33,32,28,28,45,42,41,49,43,48,50,44,47,42,65,60,66,61,59,65,64,55,60,54,28,31,35,32,33,25,26,30,28,24,49,53,56,60,66,62,71,97,41,41,51589
41,32,30,31,31,30,32,34,33,32,28,47,45,42,41,49,43,48,50,44,47,62,65,60,66,61,59,65,64,55,60,22,28,31,35,32,33,25,26,30,28,44,49,53,56,60,66,62,71,97,41,48512
42,29,32,30,31,31,30,32,34,33,32,37,47,45,42,41,49,43,48,50,44,51,62,65,60,66,61,59,65,64,55,19,22,28,31,35,32,33,25,26,30,42,44,49,53,56,60,66,62,71,97,46843
43,29,29,32,30,31,31,30,32,34,33,40,37,47,45,42,41,49,43,48,50,60,51,62,65,60,66,61,59,65,64,28,19,22,28,31,35,32,33,25,26,48,42,44,49,53,56,60,66,62,71,50569
44,30,29,29,32,30,31,31,30,32,34,56,40,37,47,45,42,41,49,43,48,55,60,51,62,65,60,66,61,59,65,32,28,19,22,28,31,35,32,33,25,49,48,42,44,49,53,56,60,66,62,57096
45,31,30,29,29,32,30,31,31,30,32,47,56,40,37,47,45,42,41,49,43,63,55,60,51,62,65,60,66,61,59,31,32,28,19,22,28,31,35,32,33,51,49,48,42,44,49,53,56,60,66,64439
46,30,31,30,29,29,32,30,31,31,30,45,47,56,40,37,47,45,42,41,49,60,63,55,60,51,62,65,60,66,61,30,31,32,28,19,22,28,31,35,32,51,51,49,48,42,44,49,53,56,60,68392
47,27,30,31,30,29,29,32,30,31,31,41,45,47,56,40,37,47,45,42,41,55,60,63,55,60,51,62,65,60,66,28,30,31,32,28,19,22,28,31,35,50,51,51,49,48,42,44,49,53,56,54997
48,30,27,30,31,30,29,29,32,30,31,35,41,45,47,56,40,37,47,45,42,57,55,60,63,55,60,51,62,65,60,26,28,30,31,32,28,19,22,28,31,44,50,51,51,49,48,42,44,49,53,49932
49,31,30,27,30,31,30,29,29,32,30,37,35,41,45,47,56,40,37,47,45,56,57,55,60,63,55,60,51,62,65,24,26,28,30,31,32,28,19,22,28,44,44,50,51,51,49,48,42,44,49,61734
50,28,31,30,27,30,31,30,29,29,32,43,37,35,41,45,47,56,40,37,47,63,56,57,55,60,63,55,60,51,62,33,24,26,28,30,31,32,28,19,22,52,44,44,50,51,51,49,48,42,44,58508
51,31,28,31,30,27,30,31,30,29,29,57,43,37,35,41,45,47,56,40,37,61,63,56,57,55,60,63,55,60,51,31,33,24,26,28,30,31,32,28,19,56,52,44,44,50,51,51,49,48,42,65088
52,30,31,28,31,30,27,30,31,30,29,47,57,43,37,35,41,45,47,56,40,62,61,63,56,57,55,60,63,55,60,37,31,33,24,26,28,30,31,32,28,54,56,52,44,44,50,51,51,49,48,75600
53,30,30,31,28,31,30,27,30,31,30,37,47,57,43,37,35,41,45,47,56,58,62,61,63,56,57,55,60,63,55,36,37,31,33,24,26,28,30,31,32,54,54,56,52,44,44,50,51,51,49,84655
54,31,30,30,31,28,31,30,27,30,31,29,37,47,57,43,37,35,41,45,47,50,58,62,61,63,56,57,55,60,63,28,36,37,31,33,24,26,28,30,31,51,54,54,56,52,44,44,50,51,51,81245
55,29,31,30,30,31,28,31,30,27,30,43,29,37,47,57,43,37,35,41,45,54,50,58,62,61,63,56,57,55,60,25,28,36,37,31,33,24,26,28,30,50,51,54,54,56,52,44,44,50,51,63677
56,30,29,31,30,30,31,28,31,30,27,43,43,29,37,47,57,43,37,35,41,57,54,50,58,62,61,63,56,57,55,29,25,28,36,37,31,33,24,26,28,47,50,51,54,54,56,52,44,44,50,66605
57,31,30,29,31,30,30,31,28,31,30,38,43,43,29,37,47,57,43,37,35,57,57,54,50,58,62,61,63,56,57,31,29,25,28,36,37,31,33,24,26,59,47,50,51,54,54,56,52,44,44,74069
58,33,31,30,29,31,30,30,31,28,31,40,38,43,43,29,37,47,57,43,37,65,57,57,54,50,58,62,61,63,56,33,31,29,25,28,36,37,31,33,24,58,59,47,50,51,54,54,56,52,44,84870
59,29,33,31,30,29,31,30,30,31,28,37,40,38,43,43,29,37,47,57,43,64,65,57,57,54,50,58,62,61,63,34,33,31,29,25,28,36,37,31,33,63,58,59,47,50,51,54,54,56,52,91745
60,33,29,33,31,30,29,31,30,30,31,45,37,40,38,43,43,29,37,47,57,67,64,65,57,57,54,50,58,62,61,35,34,33,31,29,25,28,36,37,31,60,63,58,59,47,50,51,54,54,56,99762
61,29,33,29,33,31,30,29,31,30,30,44,45,37,40,38,43,43,29,37,47,56,67,64,65,57,57,54,50,58,62,28,35,34,33,31,29,25,28,36,37,62,60,63,58,59,47,50,51,54,54,88843
62,30,29,33,29,33,31,30,29,31,30,45,44,45,37,40,38,43,43,29,37,57,56,67,64,65,57,57,54,50,58,28,28,35,34,33,31,29,25,28,36,56,62,60,63,58,59,47,50,51,54,141031
63,29,30,29,33,29,33,31,30,29,31,31,45,44,45,37,40,38,43,43,29,60,57,56,67,64,65,57,57,54,50,26,28,28,35,34,33,31,29,25,28,53,56,62,60,63,58,59,47,50,51,87748
64,28,29,30,29,33,29,33,31,30,29,51,31,45,44,45,37,40,38,43,43,63,60,57,56,67,64,65,57,57,54,29,26,28,28,35,34,33,31,29,25,63,53,56,62,60,63,58,59,47,50,93781
65,33,28,29,30,29,33,29,33,31,30,36,51,31,45,44,45,37,40,38,43,59,63,60,57,56,67,64,65,57,57,28,29,26,28,28,35,34,33,31,29,54,63,53,56,62,60,63,58,59,47,112749
66,21,33,28,29,30,29,33,29,33,31,32,36,51,31,45,44,45,37,40,38,36,59,63,60,57,56,67,64,65,57,19,28,29,26,28,28,35,34,33,31,32,54,63,53,56,62,60,63,58,59,122347
67,26,21,33,28,29,30,29,33,29,33,28,32,36,51,31,45,44,45,37,40,46,36,59,63,60,57,56,67,64,65,21,19,28,29,26,28,28,35,34,33,46,32,54,63,53,56,62,60,63,58,133284
68,26,26,21,33,28,29,30,29,33,29,36,28,32,36,51,31,45,44,45,37,54,46,36,59,63,60,57,56,67,64,25,21,19,28,29,26,28,28,35,34,50,46,32,54,63,53,56,62,60,63,96884
69,27,26,26,21,33,28,29,30,29,33,48,36,28,32,36,51,31,45,44,45,50,54,46,36,59,63,60,57,56,67,24,25,21,19,28,29,26,28,28,35,49,50,46,32,54,63,53,56,62,60,107128
70,32,27,26,26,21,33,28,29,30,29,46,48,36,28,32,36,51,31,45,44,54,50,54,46,36,59,63,60,57,56,25,24,25,21,19,28,29,26,28,28,51,49,50,46,32,54,63,53,56,62,123996
71,34,32,27,26,26,21,33,28,29,30,42,46,48,36,28,32,36,51,31,45,60,54,50,54,46,36,59,63,60,57,27,25,24,25,21,19,28,29,26,28,76,51,49,50,46,32,54,63,53,56,141472
72,37,34,32,27,26,26,21,33,28,29,32,42,46,48,36,28,32,36,51,31,62,60,54,50,54,46,36,59,63,60,32,27,25,24,25,21,19,28,29,26,74,76,51,49,50,46,32,54,63,53,151658
73,34,37,34,32,27,26,26,21,33,28,35,32,42,46,48,36,28,32,36,51,66,62,60,54,50,54,46,36,59,63,31,32,27,25,24,25,21,19,28,29,83,74,76,51,49,50,46,32,54,63,160007
74,32,34,37,34,32,27,26,26,21,33,46,35,32,42,46,48,36,28,32,36,59,66,62,60,54,50,54,46,36,59,36,31,32,27,25,24,25,21,19,28,88,83,74,76,51,49,50,46,32,54,181135
75,33,32,34,37,34,32,27,26,26,21,55,46,35,32,42,46,48,36,28,32,61,59,66,62,60,54,50,54,46,36,32,36,31,32,27,25,24,25,21,19,92,88,83,74,76,51,49,50,46,32,201503
76,32,33,32,34,37,34,32,27,26,26,53,55,46,35,32,42,46,48,36,28,57,61,59,66,62,60,54,50,54,46,26,32,36,31,32,27,25,24,25,21,89,92,88,83,74,76,51,49,50,46,104893
77,34,32,33,32,34,37,34,32,27,26,45,53,55,46,35,32,42,46,48,36,67,57,61,59,66,62,60,54,50,54,30,26,32,36,31,32,27,25,24,25,84,89,92,88,83,74,76,51,49,50,156771
78,38,34,32,33,32,34,37,34,32,27,51,45,53,55,46,35,32,42,46,48,64,67,57,61,59,66,62,60,54,50,29,30,26,32,36,31,32,27,25,24,104,84,89,92,88,83,74,76,51,49,163909
79,36,38,34,32,33,32,34,37,34,32,55,51,45,53,55,46,35,32,42,46,73,64,67,57,61,59,66,62,60,54,36,29,30,26,32,36,31,32,27,25,111,104,84,89,92,88,83,74,76,51,168340
80,36,36,38,34,32,33,32,34,37,34,40,55,51,45,53,55,46,35,32,42,68,73,64,67,57,61,59,66,62,60,35,36,29,30,26,32,36,31,32,27,110,111,104,84,89,92,88,83,74,76,189498
81,34,36,36,38,34,32,33,32,34,37,50,40,55,51,45,53,55,46,35,32,68,68,73,64,67,57,61,59,66,62,36,35,36,29,30,26,32,36,31,32,104,110,111,104,84,89,92,88,83,74,199334
82,38,34,36,36,38,34,32,33,32,34,44,50,40,55,51,45,53,55,46,35,62,68,68,73,64,67,57,61,59,66,42,36,35,36,29,30,26,32,36,31,99,104,110,111,104,84,89,92,88,83,178143
83,33,38,34,36,36,38,34,32,33,32,62,44,50,40,55,51,45,53,55,46,64,62,68,68,73,64,67,57,61,59,31,42,36,35,36,29,30,26,32,36,88,99,104,110,111,104,84,89,92,88,152263
84,32,33,38,34,36,36,38,34,32,33,50,62,44,50,40,55,51,45,53,55,65,64,62,68,68,73,64,67,57,61,32,31,42,36,35,36,29,30,26,32,84,88,99,104,110,111,104,84,89,92,162409
85,33,32,33,38,34,36,36,38,34,32,58,50,62,44,50,40,55,51,45,53,68,65,64,62,68,68,73,64,67,57,37,32,31,42,36,35,36,29,30,26,96,84,88,99,104,110,111,104,84,89,172947
86,36,33,32,33,38,34,36,36,38,34,49,58,50,62,44,50,40,55,51,45,73,68,65,64,62,68,68,73,64,67,39,37,32,31,42,36,35,36,29,30,89,96,84,88,99,104,110,111,104,84,190583
87,34,36,33,32,33,38,34,36,36,38,60,49,58,50,62,44,50,40,55,51,65,73,68,65,64,62,68,68,73,64,31,39,37,32,31,42,36,35,36,29,82,89,96,84,88,99,104,110,111,104,151442
88,30,34,36,33,32,33,38,34,36,36,42,60,49,58,50,62,44,50,40,55,65,65,73,68,65,64,62,68,68,73,27,31,39,37,32,31,42,36,35,36,62,82,89,96,84,88,99,104,110,111,174671
89,29,30,34,36,33,32,33,38,34,36,35,42,60,49,58,50,62,44,50,40,53,65,65,73,68,65,64,62,68,68,28,27,31,39,37,32,31,42,36,35,64,62,82,89,96,84,88,99,104,110,148200
90,29,29,30,34,36,33,32,33,38,34,55,35,42,60,49,58,50,62,44,50,62,53,65,65,73,68,65,64,62,68,32,28,27,31,39,37,32,31,42,36,70,64,62,82,89,96,84,88,99,104,138412
91,33,29,29,30,34,36,33,32,33,38,56,55,35,42,60,49,58,50,62,44,69,62,53,65,65,73,68,65,64,62,29,32,28,27,31,39,37,32,31,42,70,70,64,62,82,89,96,84,88,99,156809
92,37,33,29,29,30,34,36,33,32,33,48,56,55,35,42,60,49,58,50,62,64,69,62,53,65,65,73,68,65,64,39,29,32,28,27,31,39,37,32,31,78,70,70,64,62,82,89,96,84,88,187411
93,31,37,33,29,29,30,34,36,33,32,56,48,56,55,35,42,60,49,58,50,70,64,69,62,53,65,65,73,68,65,36,39,29,32,28,27,31,39,37,32,79,78,70,70,64,62,82,89,96,84,206124
94,33,31,37,33,29,29,30,34,36,33,58,56,48,56,55,35,42,60,49,58,69,70,64,69,62,53,65,65,73,68,43,36,39,29,32,28,27,31,39,37,79,79,78,70,70,64,62,82,89,96,223936
95,34,33,31,37,33,29,29,30,34,36,49,58,56,48,56,55,35,42,60,49,73,69,70,64,69,62,53,65,65,73,33,43,36,39,29,32,28,27,31,39,84,79,79,78,70,70,64,62,82,89,227058
96,32,34,33,31,37,33,29,29,30,34,57,49,58,56,48,56,55,35,42,60,71,73,69,70,64,69,62,53,65,65,41,33,43,36,39,29,32,28,27,31,83,84,79,79,78,70,70,64,62,82,211721
97,33,32,34,33,31,37,33,29,29,30,64,57,49,58,56,48,56,55,35,42,62,71,73,69,70,64,69,62,53,65,38,41,33,43,36,39,29,32,28,27,76,83,84,79,79,78,70,70,64,62,175792
98,33,33,32,34,33,31,37,33,29,29,82,64,57,49,58,56,48,56,55,35,68,62,71,73,69,70,64,69,62,53,31,38,41,33,43,36,39,29,32,28,74,76,83,84,79,79,78,70,70,64,192717
99,31,33,33,32,34,33,31,37,33,29,60,82,64,57,49,58,56,48,56,55,71,68,62,71,73,69,70,64,69,62,38,31,38,41,33,43,36,39,29,32,84,74,76,83,84,79,79,78,70,70,227484
100,33,31,33,33,32,34,33,31,37,33,74,60,82,64,57,49,58,56,48,56,67,71,68,62,71,73,69,70,64,69,40,38,31,38,41,33,43,36,39,29,90,84,74,76,83,84,79,79,78,70,218353
101,31,33,31,33,33,32,34,33,31,37,57,74,60,82,64,57,49,58,56,48,70,67,71,68,62,71,73,69,70,64,41,40,38,31,38,41,33,43,36,39,89,90,84,74,76,83,84,79,79,78,212920
102,34,31,33,31,33,33,32,34,33,31,56,57,74,60,82,64,57,49,58,56,67,70,67,71,68,62,71,73,69,70,40,41,40,38,31,38,41,33,43,36,90,89,90,84,74,76,83,84,79,79,251786
103,31,34,31,33,31,33,33,32,34,33,64,56,57,74,60,82,64,57,49,58,72,67,70,67,71,68,62,71,73,69,35,40,41,40,38,31,38,41,33,43,84,90,89,90,84,74,76,83,84,79,219407
104,31,31,34,31,33,31,33,33,32,34,48,64,56,57,74,60,82,64,57,49,64,72,67,70,67,71,68,62,71,73,31,35,40,41,40,38,31,38,41,33,79,84,90,89,90,84,74,76,83,84,183100
105,34,31,31,34,31,33,31,33,33,32,53,48,64,56,57,74,60,82,64,57,69,64,72,67,70,67,71,68,62,71,32,31,35,40,41,40,38,31,38,41,76,79,84,90,89,90,84,74,76,83,199734
106,31,34,31,31,34,31,33,31,33,33,65,53,48,64,56,57,74,60,82,64,66,69,64,72,67,70,67,71,68,62,35,32,31,35,40,41,40,38,31,38,88,76,79,84,90,89,90,84,74,76,198853
107,32,31,34,31,31,34,31,33,31,33,62,65,53,48,64,56,57,74,60,82,68,66,69,64,72,67,70,67,71,68,37,35,32,31,35,40,41,40,38,31,87,88,76,79,84,90,89,90,84,74,245461
108,32,32,31,34,31,31,34,31,33,31,57,62,65,53,48,64,56,57,74,60,64,68,66,69,64,72,67,70,67,71,38,37,35,32,31,35,40,41,40,38,87,87,88,76,79,84,90,89,90,84,249485
109,29,32,32,31,34,31,31,34,31,33,52,57,62,65,53,48,64,56,57,74,66,64,68,66,69,64,72,67,70,67,37,38,37,35,32,31,35,40,41,40,86,87,87,88,76,79,84,90,89,90,239380
